GeographyCode,DateCode,Measurement,Units,Value,SITC Section,Flow
gss:K02000001,year:2016,measure:value,unit:gbp-million,9448,sitc:0-food-and-live-animals,flow:export
gss:K02000001,year:2016,measure:value,unit:gbp-million,4965,sitc:1-beverages-and-tobacco,flow:export
gss:K02000001,year:2016,measure:value,unit:gbp-million,4175,sitc:2-crude-materials,flow:export
gss:K02000001,year:2016,measure:value,unit:gbp-million,13627,sitc:3-mineral-fuels,flow:export
gss:K02000001,year:2016,measure:value,unit:gbp-million,313,sitc:4-animal-and-vegetable-oils,flow:export
gss:K02000001,year:2016,measure:value,unit:gbp-million,38787,sitc:5-chemicals,flow:export
gss:K02000001,year:2016,measure:value,unit:gbp-million,19329,sitc:6-manufactured-goods,flow:export
gss:K02000001,year:2016,measure:value,unit:gbp-million,86417,sitc:7-machinery-and-transport,flow:export
gss:K02000001,year:2016,measure:value,unit:gbp-million,30239,sitc:8-miscellaneous-manufactures,flow:export
gss:K02000001,year:2016,measure:value,unit:gbp-million,3720,sitc:9-other-commodities-nes,flow:export
gss:K02000001,year:2016,measure:value,unit:gbp-million,211020,sitc:total,flow:export
gss:K02000001,year:2016,measure:value,unit:gbp-million,25851,sitc:0-food-and-live-animals,flow:import
gss:K02000001,year:2016,measure:value,unit:gbp-million,4074,sitc:1-beverages-and-tobacco,flow:import
gss:K02000001,year:2016,measure:value,unit:gbp-million,6780,sitc:2-crude-materials,flow:import
gss:K02000001,year:2016,measure:value,unit:gbp-million,19767,sitc:3-mineral-fuels,flow:import
gss:K02000001,year:2016,measure:value,unit:gbp-million,846,sitc:4-animal-and-vegetable-oils,flow:import
gss:K02000001,year:2016,measure:value,unit:gbp-million,39963,sitc:5-chemicals,flow:import
gss:K02000001,year:2016,measure:value,unit:gbp-million,33404,sitc:6-manufactured-goods,flow:import
gss:K02000001,year:2016,measure:value,unit:gbp-million,125667,sitc:7-machinery-and-transport,flow:import
gss:K02000001,year:2016,measure:value,unit:gbp-million,49584,sitc:8-miscellaneous-manufactures,flow:import
gss:K02000001,year:2016,measure:value,unit:gbp-million,4610,sitc:9-other-commodities-nes,flow:import
gss:K02000001,year:2016,measure:value,unit:gbp-million,310545,sitc:total,flow:import
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,12746731,sitc:0-food-and-live-animals,flow:export
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,2563079,sitc:1-beverages-and-tobacco,flow:export
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,26314803,sitc:2-crude-materials,flow:export
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,75663143,sitc:3-mineral-fuels,flow:export
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,521015,sitc:4-animal-and-vegetable-oils,flow:export
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,14512235,sitc:5-chemicals,flow:export
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,11201595,sitc:6-manufactured-goods,flow:export
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,7528699,sitc:7-machinery-and-transport,flow:export
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,2406032,sitc:8-miscellaneous-manufactures,flow:export
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,1015270,sitc:9-other-commodities-nes,flow:export
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,154472602,sitc:total,flow:export
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,32089696,sitc:0-food-and-live-animals,flow:import
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,4937080,sitc:1-beverages-and-tobacco,flow:import
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,36061352,sitc:2-crude-materials,flow:import
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,127324727,sitc:3-mineral-fuels,flow:import
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,1394572,sitc:4-animal-and-vegetable-oils,flow:import
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,21672646,sitc:5-chemicals,flow:import
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,33580945,sitc:6-manufactured-goods,flow:import
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,13384045,sitc:7-machinery-and-transport,flow:import
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,9077073,sitc:8-miscellaneous-manufactures,flow:import
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,22587,sitc:9-other-commodities-nes,flow:import
gss:K02000001,year:2016,measure:net-mass,unit:tonnes,279544723,sitc:total,flow:import
