year,flow,commodity,foreign_country,measure_type,unit,value
2012,export,28399000,singapore,gbp-total,gbp-million,35275
2012,export,42050011,ghana,gbp-total,gbp-million,1709
2012,export,85049018,israel,gbp-total,gbp-million,13205
2012,import,73269060,hong-kong,gbp-total,gbp-million,2414
2012,export,71104100,south-africa,gbp-total,gbp-million,109721
2012,export,73081000,turkey,gbp-total,gbp-million,1086
2012,export,21039090,st-vincent,gbp-total,gbp-million,5483
2012,export,90011090,chile,gbp-total,gbp-million,3752
2012,export,96061000,russia,gbp-total,gbp-million,19873
2012,export,95062900,uruguay,gbp-total,gbp-million,3082
2013,export,62046239,iran,gbp-total,gbp-million,2158
2013,import,84423099,thailand,gbp-total,gbp-million,5134
2013,export,48211010,french-polynesia,gbp-total,gbp-million,3369
2013,export,8043000,norway,gbp-total,gbp-million,1628
2013,export,22042122,falkland-islands,gbp-total,gbp-million,1299
2013,export,84869090,singapore,gbp-total,gbp-million,731970
2013,import,38231100,australia,gbp-total,gbp-million,2831
2013,import,83014019,panama,gbp-total,gbp-million,1613
2013,import,32139000,australia,gbp-total,gbp-million,34068
2013,export,22071000,israel,gbp-total,gbp-million,85557
